127.0.0.1 - - [07/Sep/2017:14:14:10 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:14:11 +0530] "GET /WeChatBackend/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:14:30 +0530] "GET /WeChatFrontend/ HTTP/1.1" 200 9120
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:14:30 +0530] "GET /WeChatFrontend/js/app.js HTTP/1.1" 200 2258
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:14:30 +0530] "GET /WeChatFrontend/controller/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:14:30 +0530] "GET /WeChatFrontend/service/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:14:30 +0530] "GET /WeChatFrontend/controller/jobcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:14:30 +0530] "GET /WeChatFrontend/service/jobservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:14:30 +0530] "GET /WeChatFrontend/controller/blogpostcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:14:30 +0530] "GET /WeChatBackend/getimage/%7B%7BcurrentUser.username%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:14:30 +0530] "GET /WeChatFrontend/controller/blogpostdetailcontroller.js HTTP/1.1" 200 1903
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:14:30 +0530] "GET /WeChatFrontend/service/blogpostservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:14:30 +0530] "GET /WeChatFrontend/controller/friendcontroller.js HTTP/1.1" 200 1078
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:14:30 +0530] "GET /WeChatFrontend/service/friendservice.js HTTP/1.1" 200 525
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:14:32 +0530] "GET /WeChatFrontend/images/12s.png HTTP/1.1" 200 38885
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:14:33 +0530] "GET /WeChatFrontend/views/home.html HTTP/1.1" 200 5918
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:14:33 +0530] "GET /WeChatFrontend/css/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:15:22 +0530] "GET /WeChatFrontend/ HTTP/1.1" 200 9120
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:15:25 +0530] "GET /WeChatFrontend/js/app.js HTTP/1.1" 200 2258
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:15:25 +0530] "GET /WeChatBackend/getimage/%7B%7BcurrentUser.username%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:15:25 +0530] "GET /WeChatFrontend/service/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:15:25 +0530] "GET /WeChatFrontend/service/blogpostservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:14:15:25 +0530] "GET /WeChatFrontend/service/jobservice.js HTTP/1.1" 304 -
