127.0.0.1 - - [04/Sep/2017:11:05:21 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [04/Sep/2017:11:05:27 +0530] "GET /WeChatBackend/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [04/Sep/2017:11:08:18 +0530] "GET /WeChatFrontend/ HTTP/1.1" 200 8636
0:0:0:0:0:0:0:1 - - [04/Sep/2017:11:08:19 +0530] "GET /WeChatFrontend/controller/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2017:11:08:19 +0530] "GET /WeChatFrontend/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2017:11:08:19 +0530] "GET /WeChatFrontend/service/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2017:11:08:19 +0530] "GET /WeChatFrontend/controller/jobcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2017:11:08:19 +0530] "GET /WeChatFrontend/service/jobservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2017:11:08:19 +0530] "GET /WeChatFrontend/controller/blogpostcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2017:11:08:19 +0530] "GET /WeChatFrontend/controller/blogpostdetailcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2017:11:08:19 +0530] "GET /WeChatFrontend/service/blogpostservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2017:11:08:21 +0530] "GET /WeChatFrontend/views/home.html HTTP/1.1" 200 5822
0:0:0:0:0:0:0:1 - - [04/Sep/2017:11:08:36 +0530] "GET /WeChatFrontend/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2017:11:08:36 +0530] "GET /WeChatFrontend/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2017:11:08:36 +0530] "GET /WeChatFrontend/controller/blogpostcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2017:11:08:36 +0530] "GET /WeChatFrontend/controller/blogpostdetailcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2017:11:08:36 +0530] "GET /WeChatFrontend/service/blogpostservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2017:11:08:37 +0530] "GET /WeChatFrontend/views/home.html HTTP/1.1" 200 5822
0:0:0:0:0:0:0:1 - - [04/Sep/2017:11:08:37 +0530] "GET /WeChatFrontend/css/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2017:11:08:38 +0530] "GET /WeChatFrontend/favicon.ico HTTP/1.1" 404 1046
