127.0.0.1 - - [19/Sep/2017:10:52:27 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [19/Sep/2017:10:52:32 +0530] "GET /WeChatBackend/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [19/Sep/2017:10:52:44 +0530] "GET /WeChatFrontend/ HTTP/1.1" 200 9591
0:0:0:0:0:0:0:1 - - [19/Sep/2017:10:52:45 +0530] "GET /WeChatBackend/getimage/%7B%7BcurrentUser.username%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Sep/2017:10:52:45 +0530] "GET /WeChatFrontend/controller/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2017:10:52:45 +0530] "GET /WeChatFrontend/js/app.js HTTP/1.1" 200 2659
0:0:0:0:0:0:0:1 - - [19/Sep/2017:10:52:45 +0530] "GET /WeChatFrontend/service/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2017:10:52:45 +0530] "GET /WeChatFrontend/controller/jobcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2017:10:52:46 +0530] "GET /WeChatFrontend/service/jobservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2017:10:52:46 +0530] "GET /WeChatFrontend/controller/blogpostdetailcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2017:10:52:46 +0530] "GET /WeChatFrontend/service/blogpostservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2017:10:52:46 +0530] "GET /WeChatFrontend/controller/blogpostcontroller.js HTTP/1.1" 200 880
0:0:0:0:0:0:0:1 - - [19/Sep/2017:10:52:46 +0530] "GET /WeChatFrontend/service/friendservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2017:10:52:46 +0530] "GET /WeChatFrontend/controller/friendcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2017:10:52:46 +0530] "GET /WeChatFrontend/controller/frienddetailcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2017:10:52:46 +0530] "GET /WeChatFrontend/js/sockjs/sockjs.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2017:10:52:46 +0530] "GET /WeChatFrontend/js/stomp/dist/stomp.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2017:10:52:46 +0530] "GET /WeChatFrontend/service/chatservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2017:10:52:46 +0530] "GET /WeChatFrontend/controller/chatcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2017:10:53:23 +0530] "GET /WeChatFrontend/images/55.jpg HTTP/1.1" 200 91665
0:0:0:0:0:0:0:1 - - [19/Sep/2017:10:53:25 +0530] "GET /WeChatFrontend/views/home.html HTTP/1.1" 200 5923
0:0:0:0:0:0:0:1 - - [19/Sep/2017:10:53:25 +0530] "GET /WeChatFrontend/images/palmtop.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2017:10:53:25 +0530] "GET /WeChatFrontend/css/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2017:10:53:25 +0530] "GET /WeChatFrontend/images/chat1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2017:10:53:25 +0530] "GET /WeChatFrontend/images/livechat.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2017:10:53:41 +0530] "GET /WeChatFrontend/ HTTP/1.1" 200 9591
0:0:0:0:0:0:0:1 - - [19/Sep/2017:10:54:01 +0530] "GET /WeChatFrontend/js/app.js HTTP/1.1" 200 2659
0:0:0:0:0:0:0:1 - - [19/Sep/2017:10:54:01 +0530] "GET /WeChatFrontend/controller/blogpostcontroller.js HTTP/1.1" 200 880
0:0:0:0:0:0:0:1 - - [19/Sep/2017:10:54:01 +0530] "GET /WeChatFrontend/service/jobservice.js HTTP/1.1" 200 463
0:0:0:0:0:0:0:1 - - [19/Sep/2017:10:54:01 +0530] "GET /WeChatFrontend/service/userservice.js HTTP/1.1" 200 671
